kategori,pertanyaan
Greeting,"['kabar', 'saya', 'baikbaik', 'saja', 'dan', 'sehat', 'saya', 'juga', 'prima']"
Greeting,"['saya', 'dalam', 'kondisi', 'yang', 'sehat', 'dan', 'baik']"
Greeting,"['saya', 'rasa', 'baikbaik', 'saja', 'dan', 'sehat', 'walafiat', 'terima', 'kasih']"
Greeting,"['saya', 'sedang', 'okeoke', 'saja', 'kak']"
Greeting,"['saya', 'rasa', 'tidak', 'enak', 'badan']"
Greeting,"['kondisi', 'sehat', 'saya', 'kurang', 'baik', 'saat', 'ini']"
Greeting,"['saya', 'rasa', 'sedikit', 'sakit']"
Greeting,"['saya', 'tidak', 'dalam', 'kondisi', 'yang', 'sehat']"
Greeting,"['aku', 'rasa', 'tidak', 'sehat', 'saat', 'ini']"
Greeting,"['aku', 'kurang', 'sehat', 'dan', 'tidak', 'enak', 'badan']"
Greeting,"['kondisi', 'saya', 'tidak', 'baik']"
Greeting,"['saya', 'sedang', 'tidak', 'enak', 'badan']"
Greeting,"['kondisi', 'saya', 'kurang', 'baik']"
Greeting,"['saya', 'sedang', 'rasa', 'kurang', 'enak', 'badan']"
Greeting,"['aku', 'sedang', 'sakit', 'dan', 'rasa', 'tidak', 'sehat']"
Greeting,"['saya', 'sedang', 'tidak', 'baikbaik', 'saja']"
Greeting,"['kondisi', 'sehat', 'saya', 'sedang', 'tidak', 'enak']"
Greeting,"['saya', 'sedang', 'rasa', 'kurang', 'baik']"
Greeting,"['saya', 'sedang', 'tidak', 'enak', 'badan', 'dan', 'kurang', 'sehat']"
Greeting,"['aku', 'sedang', 'tidak', 'sehat', 'dan', 'kurang', 'baik']"
Greeting,"['saya', 'rasa', 'tidak', 'enak', 'badan', 'dan', 'kurang', 'baik']"
Greeting,"['aku', 'sedang', 'kurang', 'enak', 'badan']"
Greeting,"['kondisi', 'saya', 'sedang', 'tidak', 'baik']"
Greeting,"['tidak', 'enak', 'badan']"
Greeting,"['kurang', 'enak', 'badan']"
Greeting,"['saya', 'kurang', 'enak', 'badan']"
Greeting,"['aku', 'rasa', 'tidak', 'enak', 'badan']"
Greeting,"['badan', 'ku', 'kurang', 'enak']"
Greeting,"['badan', 'ku', 'asa', 'tidak', 'enak']"
Greeting,"['rasa', 'kurang', 'enak', 'badan']"
Greeting,"['saya', 'tidak', 'enak', 'badan']"
Greeting,['sakit']
Greeting,"['aku', 'sakit']"
Greeting,"['aku', 'rasa', 'sakit']"
Greeting,"['saya', 'sakit']"
Greeting,"['tidak', 'sehat']"
Greeting,"['aku', 'sedang', 'tidak', 'sehat']"
Greeting,"['aku', 'asa', 'tidak', 'sehat']"
Greeting,"['tidak', 'rasa', 'sehat', 'saat', 'ini']"
Greeting,"['saya', 'asa', 'kurang', 'baik']"
Greeting,"['badan', 'asa', 'tidak', 'enak']"
Greeting,"['lagi', 'tidak', 'enak', 'badan']"
Greeting,"['tidak', 'enak', 'badan', 'untuk', 'saat', 'ini']"
Greeting,"['aku', 'kurang', 'sehat']"
Greeting,"['tidak', 'baik']"
Greeting,"['tidak', 'enak', 'badan']"
Greeting,"['kurang', 'baik']"
Greeting,"['aku', 'kurang', 'baik']"
Greeting,"['kurang', 'baik', 'dan', 'tidak', 'enak', 'badan']"
Greeting,"['badan', 'ku', 'asa', 'sakit']"
Greeting,"['aku', 'kurang', 'sehat', 'akhirakhir', 'ini']"
Greeting,"['saya', 'rasa', 'tidak', 'enak', 'badan', 'hari', 'ini']"
Greeting,"['kondisi', 'tubuh', 'saya', 'kurang', 'enak', 'badan']"
Greeting,"['aku', 'rasa', 'kurang', 'sehat', 'dan', 'tidak', 'enak', 'badan']"
Greeting,"['badan', 'asa', 'tidak', 'nyaman', 'dan', 'kurang', 'enak']"
Greeting,"['saat', 'ini', 'aku', 'rasa', 'sakit']"
Greeting,"['aku', 'rasa', 'rasa', 'sakit', 'pada', 'tubuh']"
Greeting,"['saya', 'sedang', 'alami', 'sakit']"
Greeting,"['badan', 'saya', 'sedang', 'tidak', 'sehat']"
Greeting,"['aku', 'rasa', 'tidak', 'sehat', 'dan', 'kurang', 'baik', 'saat', 'ini']"
Greeting,"['saat', 'ini', 'saya', 'rasa', 'kurang', 'baik']"
Greeting,"['sehat', 'saya', 'ganggu', 'dan', 'tidak', 'rasa', 'sehat']"
Greeting,"['saya', 'rasa', 'tidak', 'enak', 'badan', 'dan', 'tubuh', 'tidak', 'nyaman']"
Greeting,"['lagi', 'tidak', 'fit', 'nih', 'badan']"
Greeting,"['kondisi', 'sehat', 'saya', 'sedang', 'tidak', 'baik']"
Greeting,"['aku', 'rasa', 'kurang', 'sehat', 'belakang', 'ini']"
Greeting,"['saya', 'sedang', 'alami', 'ketidaknyamanan', 'fisik']"
Greeting,"['badan', 'asa', 'sakit', 'dan', 'tidak', 'enak']"
Greeting,"['aku', 'kurang', 'baik', 'dan', 'rasa', 'tidak', 'enak', 'badan']"
Greeting,"['saat', 'ini', 'aku', 'sedang', 'rasa', 'ketidaksehatan']"
Greeting,"['sehat', 'saya', 'asa', 'kurang', 'baik', 'dan', 'badan', 'tidak', 'enak']"
Greeting,"['badan', 'ku', 'asa', 'sakit', 'dan', 'tidak', 'nyaman']"
Greeting,"['aku', 'rasa', 'kurang', 'sehat', 'akhirakhir', 'ini']"
Greeting,"['badan', 'ku', 'sedang', 'dalam', 'ada', 'tidak', 'baik']"
Greeting,"['saya', 'rasa', 'ketidaknyamanan', 'pada', 'tubuh']"
Greeting,"['saat', 'ini', 'kondisi', 'tubuh', 'tidak', 'baik']"
Greeting,"['badan', 'ku', 'asa', 'lemah', 'dan', 'tidak', 'enak']"
Greeting,"['aku', 'sedang', 'rasa', 'ketidaksehatan']"
Greeting,"['saya', 'sedang', 'dalam', 'kondisi', 'kurang', 'baik', 'dan', 'tidak', 'enak', 'badan']"
Greeting,"['saat', 'ini', 'aku', 'kurang', 'sehat', 'dan', 'badan', 'asa', 'tidak', 'enak']"
Greeting,"['sehat', 'saya', 'sedang', 'turun', 'dan', 'tidak', 'rasa', 'baik']"
Greeting,"['saat', 'ini', 'kondisi', 'sehat', 'saya', 'kurang', 'baik', 'dan', 'badan', 'tidak', 'nyaman']"
Greeting,"['badan', 'ku', 'rasa', 'kurang', 'baik', 'dan', 'sedang', 'sakit']"
Greeting,"['aku', 'rasa', 'kurang', 'enak', 'badan', 'dan', 'sedang', 'tidak', 'sehat']"
Greeting,"['kondisi', 'sehat', 'saya', 'tidak', 'baik', 'dan', 'badan', 'asa', 'tidak', 'enak']"
Greeting,"['saat', 'ini', 'tubuh', 'sedang', 'tidak', 'sehat', 'dan', 'kurang', 'nyaman']"
Greeting,"['badan', 'ku', 'rasa', 'rasa', 'sakit', 'dan', 'ketidaknyamanan']"
Greeting,"['aku', 'kurang', 'enak', 'badan', 'dan', 'tidak', 'rasa', 'baik']"
Greeting,"['saat', 'ini', 'aku', 'rasa', 'kurang', 'baik', 'dan', 'tubuh', 'asa', 'tidak', 'nyaman']"
Greeting,"['kondisi', 'tubuh', 'tidak', 'enak', 'dan', 'rasa', 'ketidaksehatan']"
Greeting,"['badan', 'ku', 'rasa', 'sakit', 'dan', 'tidak', 'enak', 'untuk', 'saat', 'ini']"
info_tensibot,"['siapa', 'yang', 'buat', 'tensibot']"
info_tensibot,"['buat', 'tensibot', 'siapa']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'buat', 'tensibot', 'ini']"
info_tensibot,"['siapa', 'yang', 'bikin', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'ngebikin', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'kembang', 'tensibot']"
info_tensibot,"['tensibot', 'buat', 'oleh', 'siapa']"
info_tensibot,"['saya', 'ingin', 'tahu', 'siapa', 'yang', 'buat', 'tensibot']"
info_tensibot,"['aku', 'penasaran', 'siapa', 'yang', 'buat', 'tensibot']"
info_tensibot,"['aku', 'ingin', 'tahu', 'siapa', 'yang', 'buat', 'tensibot']"
info_tensibot,"['tensibot', 'buat', 'oleh', 'siapa']"
info_tensibot,"['yang', 'buat', 'tensibot', 'siapa', 'ya']"
info_tensibot,"['siapa', 'sih', 'yang', 'buat', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'buat', 'chatbot', 'ini']"
info_tensibot,"['siapa', 'ya', 'yang', 'buat', 'chatbot', 'ini']"
info_tensibot,"['yang', 'buat', 'tensibot', 'itu', 'siapa']"
info_tensibot,"['yang', 'buat', 'chatbot', 'ini', 'siapa']"
info_tensibot,"['siapa', 'sih', 'yang', 'buat', 'ni', 'chatbot']"
info_tensibot,"['ken', 'tahu', 'dong', 'siapa', 'yang', 'buat', 'tensibot']"
info_tensibot,"['aku', 'ken', 'tahu', 'ni', 'yang', 'buat', 'tensibot', 'siapa', 'ya']"
info_tensibot,"['aku', 'penasaran', 'siapa', 'yang', 'buat', 'tensibot']"
info_tensibot,"['penasaran', 'banget', 'siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['buat', 'tensibot', 'itu', 'sapa', 'sih', 'kalo', 'boleh', 'tahu']"
info_tensibot,"['aku', 'suka', 'tensibot', 'siapa', 'ya', 'yang', 'buat', 'tensibot']"
info_tensibot,"['yang', 'buat', 'kamu', 'siapa', 'nih']"
info_tensibot,"['yang', 'cipta', 'kamu', 'siapa', 'nih']"
info_tensibot,"['buat', 'tensibot', 'adalah', 'siapa']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot', 'ini']"
info_tensibot,"['siapa', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'buat', 'tensibot', 'ini']"
info_tensibot,"['siapa', 'yang', 'rancang', 'dan', 'kembang', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'kembang', 'tensibot', 'ini']"
info_tensibot,"['tensibot', 'buat', 'oleh', 'siapa']"
info_tensibot,"['saya', 'ingin', 'tahu', 'siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['aku', 'penasaran', 'siapa', 'yang', 'buat', 'tensibot']"
info_tensibot,"['aku', 'ingin', 'tahu', 'siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['tensibot', 'buat', 'oleh', 'siapa']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'tanggung', 'jawab', 'atas', 'buat', 'tensibot']"
info_tensibot,"['buat', 'tensibot', 'adalah', 'siapa']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot', 'ini']"
info_tensibot,"['siapa', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'buat', 'tensibot', 'ini']"
info_tensibot,"['siapa', 'yang', 'rancang', 'dan', 'kembang', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'kembang', 'tensibot', 'ini']"
info_tensibot,"['tensibot', 'buat', 'oleh', 'siapa']"
info_tensibot,"['saya', 'ingin', 'tahu', 'siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['aku', 'penasaran', 'siapa', 'yang', 'buat', 'tensibot']"
info_tensibot,"['aku', 'ingin', 'tahu', 'siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['tensibot', 'buat', 'oleh', 'siapa']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'tanggung', 'jawab', 'atas', 'buat', 'tensibot']"
info_tensibot,"['buat', 'tensibot', 'adalah', 'siapa']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot', 'ini']"
info_tensibot,"['siapa', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'buat', 'tensibot', 'ini']"
info_tensibot,"['siapa', 'yang', 'rancang', 'dan', 'kembang', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'kembang', 'tensibot', 'ini']"
info_tensibot,"['tensibot', 'buat', 'oleh', 'siapa']"
info_tensibot,"['saya', 'ingin', 'tahu', 'siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['aku', 'penasaran', 'siapa', 'yang', 'buat', 'tensibot']"
info_tensibot,"['aku', 'ingin', 'tahu', 'siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['tensibot', 'buat', 'oleh', 'siapa']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'tanggung', 'jawab', 'atas', 'buat', 'tensibot']"
info_tensibot,"['buat', 'tensibot', 'adalah', 'siapa']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot', 'ini']"
info_tensibot,"['siapa', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'buat', 'tensibot', 'ini']"
info_tensibot,"['siapa', 'yang', 'rancang', 'dan', 'kembang', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'kembang', 'tensibot', 'ini']"
info_tensibot,"['tensibot', 'buat', 'oleh', 'siapa']"
info_tensibot,"['saya', 'ingin', 'tahu', 'siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['aku', 'penasaran', 'siapa', 'yang', 'buat', 'tensibot']"
info_tensibot,"['aku', 'ingin', 'tahu', 'siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['tensibot', 'buat', 'oleh', 'siapa']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'tanggung', 'jawab', 'atas', 'buat', 'tensibot']"
info_tensibot,"['buat', 'tensibot', 'adalah', 'siapa']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot', 'ini']"
info_tensibot,"['siapa', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'buat', 'tensibot', 'ini']"
info_tensibot,"['siapa', 'yang', 'rancang', 'dan', 'kembang', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'cipta', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'kembang', 'tensibot', 'ini']"
info_tensibot,"['tensibot', 'buat', 'oleh', 'siapa']"
info_tensibot,"['apa', 'itu', 'tensibot']"
info_tensibot,"['sebut', 'defenisi', 'dari', 'tensibo']"
info_tensibot,"['apa', 'yang', 'maksud', 'dengan', 'tensibot']"
info_tensibot,"['tensibot', 'adalah']"
info_tensibot,"['apa', 'fungsi', 'dari', 'tensibot']"
info_tensibot,"['kenalin', 'dong', 'tensibot']"
info_tensibot,"['tensibot', 'apa']"
info_tensibot,"['tensibot', 'siapa']"
info_tensibot,"['tensibot', 'itu', 'apa', 'ya']"
info_tensibot,"['tensibot', 'itu', 'apa', 'manfaat']"
info_tensibot,"['tenibot', 'itu', 'apa', 'jelasin', 'dong']"
info_tensibot,"['tensibot', 'itu', 'apa', 'jelasin', 'dong']"
info_tensibot,"['jelas', 'apa', 'itu', 'tensibot']"
info_tensibot,"['jelas', 'tesibot', 'itu', 'apa']"
info_tensibot,"['apasih', 'tensibot', 'itu']"
info_tensibot,"['apa', 'fungsi', 'tensibot']"
info_tensibot,"['tensibot', 'itu', 'apa']"
info_tensibot,"['kamu', 'itu', 'apa', 'ya']"
info_tensibot,"['tensibot', 'itu', 'robot', 'apa', 'ya']"
info_tensibot,"['aku', 'penasaran', 'apa', 'fungsi', 'dari', 'tensibot']"
info_tensibot,"['fungsi', 'dari', 'tensibot']"
info_tensibot,"['tensibot', 'fungsi', 'untuk']"
info_tensibot,"['fungsi', 'tensibot', 'itu', 'buat', 'apasih']"
info_tensibot,"['aku', 'bingung', 'tensibot', 'fungsi', 'buat', 'apa', 'ya']"
info_tensibot,"['tensibot', 'itu', 'fungsi', 'buat', 'apa', 'ya']"
info_tensibot,"['tensibot', 'itu', 'apa', 'sih']"
info_tensibot,"['tensibot', 'itu', 'robot', 'seperti', 'apa', 'ya']"
info_tensibot,"['penasaran', 'tensibot', 'fungsi', 'buat', 'apa']"
info_tensibot,"['siapa', 'yang', 'tanggung', 'jawab', 'atas', 'buat', 'tensibot']"
info_tensibot,"['tensibot', 'adalah', 'apa']"
info_tensibot,"['sebut', 'definisi', 'dari', 'tensibot']"
info_tensibot,"['apa', 'yang', 'maksud', 'dengan', 'tensibot']"
info_tensibot,"['tensibot', 'itu', 'apa']"
info_tensibot,"['apa', 'fungsi', 'dari', 'tensibot']"
info_tensibot,"['kenal', 'tensibot', 'siapa', 'dia']"
info_tensibot,"['apa', 'itu', 'tensibot']"
info_tensibot,"['siapa', 'tensibot']"
info_tensibot,"['apa', 'yang', 'bisa', 'kamu', 'jelas', 'tentang', 'tensibot']"
info_tensibot,"['apa', 'manfaat', 'dari', 'tensibot']"
info_tensibot,"['tolong', 'jelas', 'apa', 'itu', 'tensibot']"
info_tensibot,"['tensibot', 'itu', 'apa', 'tolong', 'jelas']"
info_tensibot,"['jelas', 'apa', 'itu', 'tensibot']"
info_tensibot,"['jelas', 'apa', 'itu', 'tensibot']"
info_tensibot,"['apa', 'sih', 'tensibot', 'itu']"
info_tensibot,"['apa', 'fungsi', 'tensibot']"
info_tensibot,"['tensibot', 'itu', 'apa']"
info_tensibot,"['kamu', 'itu', 'apa', 'ya']"
info_tensibot,"['apakah', 'tensibot', 'itu', 'buah', 'robot']"
info_tensibot,"['aku', 'penasaran', 'apa', 'fungsi', 'dari', 'tensibot']"
info_tensibot,"['apa', 'fungsi', 'dari', 'tensibot']"
info_tensibot,"['tensibot', 'fungsi', 'untuk', 'apa']"
info_tensibot,"['apa', 'fungsi', 'tensibot']"
info_tensibot,"['apa', 'fungsi', 'dari', 'tensibot']"
info_tensibot,"['aku', 'bingung', 'tensibot', 'fungsi', 'buat', 'apa', 'ya']"
info_tensibot,"['tensibot', 'itu', 'fungsi', 'buat', 'apa', 'ya']"
info_tensibot,"['tensibot', 'itu', 'apa', 'sih']"
info_tensibot,"['tensibot', 'itu', 'seperti', 'robot', 'seperti', 'apa', 'ya']"
info_tensibot,"['penasaran', 'apa', 'fungsi', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'tanggung', 'jawab', 'atas', 'buat', 'tensibot']"
info_tensibot,"['tolong', 'jelas', 'apa', 'itu', 'tensibot']"
info_tensibot,"['apa', 'yang', 'maksud', 'dengan', 'tensibot']"
info_tensibot,"['apa', 'itu', 'tensibot']"
info_tensibot,"['apa', 'fungsi', 'dari', 'tensibot']"
info_tensibot,"['apa', 'manfaat', 'dari', 'tensibot']"
info_tensibot,"['kenal', 'tensibot', 'siapa', 'dia']"
info_tensibot,"['apa', 'itu', 'tensibot']"
info_tensibot,"['siapa', 'tensibot']"
info_tensibot,"['apa', 'yang', 'bisa', 'kamu', 'jelas', 'tentang', 'tensibot']"
info_tensibot,"['apa', 'manfaat', 'dari', 'tensibot']"
info_tensibot,"['tolong', 'jelas', 'apa', 'itu', 'tensibot']"
info_tensibot,"['tensibot', 'itu', 'apa', 'tolong', 'jelas']"
info_tensibot,"['jelas', 'apa', 'itu', 'tensibot']"
info_tensibot,"['jelas', 'apa', 'itu', 'tensibot']"
info_tensibot,"['apa', 'sih', 'tensibot', 'itu']"
info_tensibot,"['apa', 'fungsi', 'tensibot']"
info_tensibot,"['tensibot', 'itu', 'apa']"
info_tensibot,"['kamu', 'itu', 'apa', 'ya']"
info_tensibot,"['apakah', 'tensibot', 'itu', 'buah', 'robot']"
info_tensibot,"['aku', 'penasaran', 'apa', 'fungsi', 'dari', 'tensibot']"
info_tensibot,"['apa', 'fungsi', 'dari', 'tensibot']"
info_tensibot,"['tensibot', 'fungsi', 'untuk', 'apa']"
info_tensibot,"['apa', 'fungsi', 'tensibot']"
info_tensibot,"['apa', 'fungsi', 'dari', 'tensibot']"
info_tensibot,"['aku', 'bingung', 'tensibot', 'fungsi', 'buat', 'apa', 'ya']"
info_tensibot,"['tensibot', 'itu', 'fungsi', 'buat', 'apa', 'ya']"
info_tensibot,"['tensibot', 'itu', 'apa', 'sih']"
info_tensibot,"['tensibot', 'itu', 'seperti', 'robot', 'seperti', 'apa', 'ya']"
info_tensibot,"['penasaran', 'apa', 'fungsi', 'tensibot']"
info_tensibot,"['siapa', 'yang', 'tanggung', 'jawab', 'atas', 'buat', 'tensibot']"
info_tensibot,"['tolong', 'jelas', 'apa', 'itu', 'tensibot']"
info_tensibot,"['apa', 'yang', 'maksud', 'dengan', 'tensibot']"
info_tensibot,"['apa', 'itu', 'tensibot']"
info_tensibot,"['apa', 'fungsi', 'dari', 'tensibot']"
info_tensibot,"['apa', 'manfaat', 'dari', 'tensibot']"
info_tensibot,"['kenal', 'tensibot', 'siapa', 'dia']"
info_tensibot,"['apa', 'itu', 'tensibot']"
info_tensibot,"['siapa', 'tensibot']"
info_tensibot,"['apa', 'yang', 'bisa', 'kamu', 'jelas', 'tentang', 'tensibot']"
info_tensibot,"['apa', 'manfaat', 'dari', 'tensibot']"
info_hipertensi,"['apa', 'itu', 'hipertensi']"
info_hipertensi,"['apa', 'yang', 'maksud', 'dengan', 'hipertensi']"
info_hipertensi,"['hipertensi', 'apa', 'arti']"
info_hipertensi,"['bagaimana', 'erti', 'dari', 'hipertensi']"
info_hipertensi,"['hipertensi', 'cara', 'umum', 'apa', 'arti']"
info_hipertensi,"['hipertensi', 'itu', 'sebenernya', 'apa']"
info_hipertensi,"['hipertensi', 'itu', 'apa', 'sih']"
info_hipertensi,"['hipertensi', 'itu', 'arti', 'apa']"
info_hipertensi,"['hipertensi', 'itu', 'maksud', 'apa']"
info_hipertensi,"['hipertensi', 'itu', 'apa', 'yaa']"
info_hipertensi,"['hipertensi', 'itu', 'apa', 'tuh']"
info_hipertensi,"['saya', 'ingin', 'mengehtahui', 'hipertensi', 'itu', 'apa']"
info_hipertensi,"['coba', 'jelasin', 'apa', 'itu', 'hipertensi']"
info_hipertensi,"['aku', 'mau', 'tau', 'arti', 'dari', 'hipertensi']"
info_hipertensi,"['hipertensi', 'itu', 'sakit', 'seperti', 'apa']"
info_hipertensi,"['apa', 'arti', 'hipertensi']"
info_hipertensi,"['apa', 'sih', 'arti', 'hipertensi']"
info_hipertensi,"['hipertensi', 'itu', 'apa', 'ya']"
info_hipertensi,"['hipertensi', 'itu', 'apa', 'ya']"
info_hipertensi,"['coba', 'jelas', 'apa', 'itu', 'hipertensi']"
info_hipertensi,"['hipertensi', 'itu', 'apasih']"
info_hipertensi,"['hmm', 'hipertensi', 'itu', 'apa', 'ya']"
info_hipertensi,"['coba', 'tensbot', 'jelas', 'apa', 'itu', 'hipertensi']"
info_hipertensi,"['jelas', 'kena', 'hipertensi']"
info_hipertensi,"['erti', 'dari', 'hipertensi']"
info_hipertensi,"['hipertensi', 'itu', 'sakit', 'seperti', 'apa']"
info_hipertensi,"['hipertensi', 'itu', 'apa']"
info_hipertensi,"['apa', 'itu', 'tekan', 'darah', 'tinggi', 'hipertensi']"
info_hipertensi,"['apa', 'yang', 'maksud', 'dengan', 'hipertensi']"
info_hipertensi,"['hipertensi', 'apa', 'arti']"
info_hipertensi,"['bagaimana', 'erti', 'dari', 'hipertensi']"
info_hipertensi,"['apa', 'erti', 'umum', 'dari', 'hipertensi']"
info_hipertensi,"['hipertensi', 'benar', 'itu', 'apa']"
info_hipertensi,"['apa', 'yang', 'maksud', 'dengan', 'hipertensi']"
info_hipertensi,"['apa', 'arti', 'dari', 'hipertensi']"
info_hipertensi,"['apa', 'yang', 'maksud', 'dengan', 'hipertensi']"
info_hipertensi,"['hipertensi', 'apa', 'itu', 'benar']"
info_hipertensi,"['hipertensi', 'apa', 'itu', 'benar']"
info_hipertensi,"['saya', 'ingin', 'tahu', 'apa', 'itu', 'hipertensi']"
info_hipertensi,"['coba', 'jelas', 'apa', 'itu', 'hipertensi']"
